"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Impressions,Reach,IMPRESSION:UNIQUE_USERS,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks",Views,"Impressions from Unpaid posts","Impressions from Boosted posts","Reach from Organic posts","Reach from Boosted posts",IMPRESSION:UNIQUE_USERS,"3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Engaged users","Negative feedback from users","Unique negative feedback from users",REELS_PLAYS:COUNT,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad impressions","Ad CPM (USD)"
1151064676743889,100055211027046,"Rebecca Block Art and Design","It's a socks-n-slippahs kind of week in Hawai'i. Lucky I own socks!! I want to record some paintings and tutorials in my studio, but my studio is in my garage and IT IS SO COLD out there!! I may need to join Studio Dog in the sun to do emails and such instead.",,0,"01/23/2025 14:06",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02hFf7A9Y9YrVXxTf6HrdY5Lt1dj4sWUQxUMjspAMZdEkdPAtadFN7BHGKVbVaciwul,0,0,Photos,,,,,Lifetime,0,80,74,,3,2,1,0,9,5,4,,0,80,0,74,0,,0,0,0,0,0,0,9,0,0,,,,,,
1151130686737288,100055211027046,"Rebecca Block Art and Design","Rebecca Block Art and Design updated her profile picture.",,0,"01/23/2025 16:47",N/A,https://www.facebook.com/photo.php?fbid=1151130686737288&set=a.564071855443177&type=3,0,0,Photos,,,,,Lifetime,0,76,70,,8,8,0,0,4,1,3,,0,76,0,70,0,,0,0,0,0,0,0,11,0,0,,,,,,
1155830679600622,100055211027046,"Rebecca Block Art and Design","The reason I switched from acrylics and oils to watercolor around 2017 was partly because of ease of cleanup with small kids around. But I also REALLY needed to use my brain in ways that reminded me I was more than a caretaker for small children. The learning curve of watercolor worked my brain in ways that were incredibly fulfilling in a different sort of way than momming all day. It kept me from going insane, to be honest. And I'm drawn to orchids because they're a very complicated-looking flower. Yep, I like a challenge! Here are three I've been personally hoarding on my walls, but I think I can relinquish them now. ;-) Comment below if you're interested and I'll message prices for these originals. As I'm in Hawai'i, they will ship as just the painting.

#orchidshow #orchids #cattleya #phalaenopsis #hawaii #oahu #oahuhawaii #nature #boldandbeautiful #tropicalgarden #orchidlover #hawaiiart #tropicalart",,0,"01/29/2025 20:37",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid029e8Ugnw2zVpMJtbVy6mE3xVJB9NBQQbAeTJoZHZvgDR14SgtiPjy9wV82QcqBHbAl,0,0,Photos,,,,,Lifetime,0,65,59,,17,11,6,0,9,9,,,0,65,0,59,0,,0,0,0,0,0,0,15,0,0,,,,,,
1157768366073520,100055211027046,"Rebecca Block Art and Design","I'm curious what folks like - What kind of subjects would you love to see on cards? I'm fixing to do another round of card printing and would love to hear your thoughts!","I'm curious what folks like - What kind of subjects would you love to see on cards? I'm fixing to do another round of card printing and would love to hear your thoughts!",27,"02/01/2025 11:55",N/A,https://www.facebook.com/reel/582001041330131/,1,0,Reels,,,,,Lifetime,0,25,22,,0,0,0,0,0,,,,0,25,0,22,0,,,,,,0,10,,,,21,117.767,6.198,0,0,
644464908008429,100055211027046,"Rebecca Block Art and Design","Adult Watercolor Hui",,0,"02/01/2025 20:31",N/A,https://www.facebook.com/events/644464908008429/,0,0,Text,,,,,Lifetime,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
1327845075157765,100055211027046,"Rebecca Block Art and Design","Art Explorations for youth (Tuesday mornings, 12-week class)",,0,"02/01/2025 20:59",N/A,https://www.facebook.com/events/1327845075157765/,0,0,Text,,,,,Lifetime,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
1004535594837484,100055211027046,"Rebecca Block Art and Design","Art Explorations for youth (Wednesday afternoons, 12-week class)",,0,"02/01/2025 21:01",N/A,https://www.facebook.com/events/1004535594837484/,0,0,Text,,,,,Lifetime,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
565549766470265,100055211027046,"Rebecca Block Art and Design","Youth Painting - Spring Classes",,0,"02/01/2025 21:11",N/A,https://www.facebook.com/events/565549766470265/,0,0,Text,,,,,Lifetime,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2587520204771201,100055211027046,"Rebecca Block Art and Design","Youth Drawing - Spring Classes",,0,"02/01/2025 21:21",N/A,https://www.facebook.com/events/2587520204771201/,0,0,Text,,,,,Lifetime,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
1158066102710413,100055211027046,"Rebecca Block Art and Design",,,0,"02/01/2025 21:45",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02dfB9PFkPHw1AS9h21VNR2cDxnTuDoLz77EdQrrfrcBARGHhresDS86KXbJh8m3Tfl,0,1,Photos,,,,,Lifetime,0,28,24,,3,3,0,0,8,1,4,3,0,28,0,24,0,,0,0,0,0,0,0,7,0,0,,,,,,
1158660635984293,100055211027046,"Rebecca Block Art and Design","Do you have a young artist who is thinking about selling their artwork online? I started a blog recently and I just published a post with some advice based on my experience. Lots of resource links in there, too! (Link in comments below)",,0,"02/02/2025 15:11",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02XFrwHRHkg1KYGJkk2U9g51XiDUnJYWpAjeR9HY1uzAaaLZsWzdNDtX1sKLEVfGScl,0,0,Photos,,,,,Lifetime,0,66,62,,7,3,4,0,4,,4,,0,66,0,62,0,,0,0,0,0,0,0,5,0,0,,,,,,
1159448849238805,100055211027046,"Rebecca Block Art and Design","For many years, I've already been trying to source my supplies from companies that manufacture in the US, Europe, or Japan. Especially when it comes to paint - there's just some places I don't trust to be safe. My own personal brushes also come from these places. However, good quality *class* sets of brushes are one of the few things I can't find made in the US! (If anyone knows of some, please share your knowledge!) There's a set I like from a store on the continent. Even if all their stuff is made in China, I actually really like this one. I regretted not getting a refreshed set of brushes on my last trip there. So my fabulous sister-and-bro-in-law just hooked me up from one of the stores on The 9th Island. 😘 The speed at which this puppy arrived is impressive! THANKS, SIS!! 😁",,0,"02/03/2025 15:59",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0uAg1cUc47hcZTxudy5YTKh7ckG5T3qcZh8E5kXBNvqriTTKoqHJWugHHQb2YhDUl,0,0,Photos,,,,,Lifetime,0,42,39,,0,0,0,0,1,1,,,0,42,0,39,0,,0,0,0,0,0,0,1,0,0,,,,,,
1161801199003570,100055211027046,"Rebecca Block Art and Design","Studio tour time! It was super clean Monday before classes started back up, so I thought it was about time to take some pics! The right side is where I make; the left side is where I teach. And YES, IT'S A GARAGE! 😁 Cuz that's how we roll. I realize it sounds weird if you don't live here, but space is at a premium here so it's pretty common to use your garage space for gatherings. And I like having the fresh air, neighbor chats, and chicken friends strolling by. Besides, of all the garages I've seen in Hawaii, I propose this one is a top contender for ""most interesting views from the street."" Check out the link in the comments to see more pics with captions. (Good for showing your kids before they come to class!)

 #orchidartwork #orchidartist #orchidart #natureartists #natureartworks #natureartwork #natureartist #natureart #studiotour #hawaiiartclasses #artlessonsforadults #artlessonsforteens #artlessons #artlessonsforkids #ArtLessons #waipahu #oahulifestyle #oahulife #hawaiilifestyle #hawaiilife",,0,"02/06/2025 21:48",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid08r9qzh65ac2uCqpaUsHw6kzgLykoaVxPfZPk9MxWnoskBCkjmKMg8tnNeNZv3T5Zl,0,0,Photos,,,,,Lifetime,0,66,64,,7,5,2,0,12,10,2,,0,66,0,64,0,,0,0,0,0,0,0,14,0,0,,,,,,
1162297852287238,100055211027046,"Rebecca Block Art and Design","Detail shot of a plant I love but kept killing until I stuck it outside in morning sun under the eave of the house. 😁 Original 12x12"" watercolor is still available. Comment below for details.

#plantlady #succulentlover #succuholic #blueaesthetic  #blue #symmetry",,0,"02/07/2025 14:03",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02Nown2FYn1K6xgThAK9sEGqyHvvCkuAiu6N7QgUgRZmvQhRZpZy4gUzK1PtvMXPYml,0,0,Photos,,,,,Lifetime,0,28,27,,5,1,4,0,4,,4,,0,28,0,27,0,,0,0,0,0,0,0,2,0,0,,,,,,
1162380785612278,100055211027046,"Rebecca Block Art and Design","Check out the art classes for this spring! Head to the website for more info & to register.","Check out the art classes for this spring! Head to the website for more info & to register.",6,"02/07/2025 17:00",N/A,https://www.facebook.com/rebeccablockartworks/videos/1011381780895977/,1,0,Videos,,,,,Lifetime,0,61,55,,4,2,0,2,0,,,,0,61,0,55,0,,26,0,23,0,0,26,2,0,0,111,382.393,5.623,0,0,0
1164565395393817,100055211027046,"Rebecca Block Art and Design","General reminder about registering for private lessons: As it says on the website, if you've purchased private lessons, the next step is *scheduling* the lessons. I usually email within the hour to say hello and ask you about days and times you want to do your lessons. So if you think you haven't heard from me, please first check your spam folder and/or search for ""private art lessons"" or ""Rebecca Block"" or ""Hawai'i Art Classes"" in your email. If you STILL don't see it, please contact me via email or phone! I also try calling and texting folks if I haven't heard from them yet. You can pick any of those forms of communication. You can use the form on my website (www.hawaiiartclasses.com), or you can call my studio line at 808-671-0295.

Eventually, I will have to assume that perhaps someone changed their mind or they were confused about something. (If this is the case, it is always best to just reach out to me!) After one month of not hearing from someone about scheduling their lesson, I will refund the registration fee because I don't want to have an obligation hanging over my head with someone I can't get ahold of. Thanks for understanding!",,0,"02/10/2025 17:47",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid07p63TDz2yb7Yqu6zZAZ6HST6MQQhB2A1JcGtPteLHMFgFq7hNRfJxfFgCwK6groEl,0,0,Photos,,,,,Lifetime,0,25,25,,0,0,0,0,0,,,,0,25,0,25,0,,0,0,0,0,0,0,0,0,0,,,,,,
1165485211968502,100055211027046,"Rebecca Block Art and Design","Check out my top seven painting exercises so you can get to know your own paint set and totally level up your artwork. Fresh off the blog! (Link in comments)",,0,"02/11/2025 22:38",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid022oG3aJE3J9T7afbwLZeWTRiZsmaB8Z2dG9oGjpHqv9jKwsm4KWHVckJvhRfGowbzl,0,0,Photos,,,,,Lifetime,0,22,22,,1,0,1,0,3,1,2,,0,22,0,22,0,,0,0,0,0,0,0,3,0,0,,,,,,
1106488351201522,100055211027046,"Rebecca Block Art and Design","Sorrynotsorry for doing this before Thanksgiving, but I've been making, photographing, and listing Christmas workshop stuff, soooo.....I wanted to share Iam Tongi's rendition, which is PERFECT. (Sorry, Bing.)

https://open.spotify.com/track/3Ya0obaxLjCkjS7sFXPPfB?si=93f85a19250042de",,0,"11/22/2024 20:12",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0cmQpqeYUWnnN66ZXhLveqyMdJUc7kWazYiL3ztdxJczZAkuRwWGX5yjyrtoX23oNl,0,0,Text,,,,,Lifetime,0,37,31,,0,0,0,0,0,,,,0,37,0,31,0,,0,0,0,0,0,0,0,0,0,,,,,,
